tithi|event_id|event|masa|paksha|id
pratipad|1|Sri Gaura Purnima paran. Anandotsav of Sri Jagannath Mishra. Last gathering of the week-long yearly meeting at Sri Chaitanya Saraswat Math and yearly festival.|vishnu|K|1
panchami|2|Festival at the appearance place of Srila Bhakti Raksak Sridhar Dev-Goswami Maharaj, Sripat Hapaniya: <a href="http://www.scsmath.com/events/calendar_events/03_Hapaniya_Deities_Installation.html" target="_top">grand appearance of the Holy Deities of Sripat Hapaniya, Sri Sri Guru Gauranga Radha Gopinath Jiu at Sri Chaitanya Saraswat Ashram.</a> Appearance of Tridandi Swami Srimad Bhakti Sharan Shanta Maharaj. Pancham Dol|vishnu|K|2
ashtami|3|Appearance of Srila Srivas Pandit|vishnu|K|3
navami|4|Disappearance of Tridandi Swami Srimad Bhakti Vigraha Bhiksu Goswami Maharaj|vishnu|K|4
dvadashi|5|Festival in honour of <a href="http://www.scsmath.com/events/calendar_events/03_VarahaNagar.html">Sriman Mahaprabhu\'s auspicious arrival at Varaha Nagar</a>. Disappearance of Srila Govinda Ghosh Thakur. Disappearance of Sripad Satyendrachandra Bhattacharya Mahoday|vishnu|K|5
panchami|6|<a href="http://www.scsmath.com/events/calendar_events/03_Ramanujacharya.html" target="_top">Appearance of Sripad Ramanuja Acharya</a> and <a href="http://www.scsmath.com/events/calendar_events/07_BonMaharaj.html"> Tridandi Swami Srimad Bhakti Hriday Bon Maharaj</a>|vishnu|G|6
saptami|7|Appearance of Tridandi Swami Srimad Bhakti Vilas Tirtha Maharaj|vishnu|G|7
navami|8|<b><a href="http://www.scsmath.com/events/calendar_events/04_Rama-navami.html">Sri Rama Navami.</a> Fast until noon.</b> Appearance at noon of Sri Ramachandra|vishnu|G|8
dvadashi|9|<b><a href="http://www.scsmath.com/events/calendar_events/04_SrilaGovindaMaharaj-disap.html">Festival in honour of the disappearance of Omvishnupad Paramahamsa Parivrajakacharya-varya Ashtottara-shata-sri Srila Bhakti Sundar Govinda Dev-Goswami Maharaj</a></b>|vishnu|G|9
purnima|10|Vasanta Rasa of Sri Krishna. Rasa Yatra of Sri Balaram. Appearance of Srila Vamshi Vadanananda Thakur and Srila Shyamananda Prabhu|vishnu|G|10
panchami|11|Disappearance of <a href="http://www.scsmath.com/events/calendar_events/04_KrishnaDasBabaji.html">Sripad Krishnadas Babaji Maharaj</a>|madhusudan|K|11
saptami|12|Disappearance of Srila Abhiram Thakur|madhusudan|K|12
dashami|13|<a href="http://www.scsmath.com/events/calendar_events/05_VrindavanDasThakur.html" target="_top">Disappearance of Srila Vrindavan Das Thakur</a>|madhusudan|K|13
ekadashi|14|Disappearance of <a href="http://www.scsmath.com/events/calendar_events/04_SaurindranathBhaktiVaridhiPrabhu.html">Sriyukta Saurindranath Bhakti Varidhi Prabhu</a>|madhusudan|K|14
amavasya|15|<a href="http://www.scsmath.com/events/calendar_events/04_GadadharPandit.html">Appearance of Srila Gadadhar Pandit Goswami</a>|madhusudan|K|15
pratipad|16|Appearance of Tridandi Swami Srimad Bhakti Aloka Paramahamsa Maharaj|madhusudan|G|16
